"Grid","Lon","Lat","siteid"
"0025/0044",-92.12,40.71,"40.71|-92.12"
"0025/0044",-92.12,40.74,"40.74|-92.12"
"0025/0044",-92.12,40.79,"40.79|-92.12"
"0025/0044",-92.12,40.83,"40.83|-92.12"
"0025/0044",-92.12,40.88,"40.88|-92.12"
"0025/0044",-92.12,40.91,"40.91|-92.12"
"0025/0044",-92.12,40.96,"40.96|-92.12"
"0025/0044",-92.12,41,"41|-92.12"
"0025/0044",-92.12,41.04,"41.04|-92.12"
"0025/0044",-92.12,41.09,"41.09|-92.12"
"0025/0044",-92.12,41.12,"41.12|-92.12"
"0025/0044",-92.12,41.17,"41.17|-92.12"
"0025/0044",-92.12,41.21,"41.21|-92.12"
"0025/0044",-92.12,41.26,"41.26|-92.12"
"0025/0044",-92.12,41.29,"41.29|-92.12"
"0025/0044",-92.12,41.35,"41.35|-92.12"
"0025/0044",-92.12,41.38,"41.38|-92.12"
"0025/0044",-92.12,41.44,"41.44|-92.12"
"0025/0044",-92.12,41.46,"41.46|-92.12"
"0025/0044",-92.12,41.52,"41.52|-92.12"
"0025/0044",-92.12,41.54,"41.54|-92.12"
"0025/0044",-92.12,41.61,"41.61|-92.12"
"0025/0044",-92.12,41.62,"41.62|-92.12"
"0025/0044",-92.12,41.7,"41.7|-92.12"
"0025/0044",-92.12,41.71,"41.71|-92.12"
"0025/0044",-92.12,41.78,"41.78|-92.12"
"0025/0044",-92.12,41.79,"41.79|-92.12"
"0025/0044",-92.12,41.87,"41.87|-92.12"
"0025/0044",-92.12,41.88,"41.88|-92.12"
"0025/0044",-92.12,41.96,"41.96|-92.12"
"0024/0044",-92.12,42.04,"42.04|-92.12"
"0024/0044",-92.12,42.12,"42.12|-92.12"
"0024/0044",-92.12,42.21,"42.21|-92.12"
"0024/0044",-92.12,42.22,"42.22|-92.12"
"0024/0044",-92.12,42.29,"42.29|-92.12"
"0024/0044",-92.12,42.3,"42.3|-92.12"
"0024/0044",-92.12,42.38,"42.38|-92.12"
"0024/0044",-92.12,42.39,"42.39|-92.12"
"0024/0044",-92.12,42.46,"42.46|-92.12"
"0024/0044",-92.12,42.48,"42.48|-92.12"
"0024/0044",-92.12,42.54,"42.54|-92.12"
"0024/0044",-92.12,42.56,"42.56|-92.12"
"0024/0044",-92.12,42.62,"42.62|-92.12"
"0024/0044",-92.12,42.65,"42.65|-92.12"
"0024/0044",-92.12,42.71,"42.71|-92.12"
"0024/0044",-92.12,42.74,"42.74|-92.12"
"0024/0044",-92.12,42.79,"42.79|-92.12"
"0024/0044",-92.12,42.83,"42.83|-92.12"
"0024/0044",-92.12,42.88,"42.88|-92.12"
"0024/0044",-92.12,42.91,"42.91|-92.12"
"0024/0044",-92.12,42.96,"42.96|-92.12"
"0024/0044",-92.12,43,"43|-92.12"
"0024/0044",-92.12,43.04,"43.04|-92.12"
"0024/0044",-92.12,43.09,"43.09|-92.12"
"0024/0044",-92.12,43.12,"43.12|-92.12"
"0024/0044",-92.12,43.17,"43.17|-92.12"
"0024/0044",-92.12,43.21,"43.21|-92.12"
"0024/0044",-92.12,43.26,"43.26|-92.12"
"0024/0044",-92.12,43.29,"43.29|-92.12"
"0024/0044",-92.12,43.35,"43.35|-92.12"
"0024/0044",-92.12,43.38,"43.38|-92.12"
"0024/0044",-92.12,43.44,"43.44|-92.12"
"0024/0044",-92.12,43.46,"43.46|-92.12"
"0025/0044",-92.21,40.62,"40.62|-92.21"
"0025/0044",-92.21,40.65,"40.65|-92.21"
"0025/0044",-92.21,40.71,"40.71|-92.21"
"0025/0044",-92.21,40.74,"40.74|-92.21"
"0025/0044",-92.21,40.79,"40.79|-92.21"
"0025/0044",-92.21,40.83,"40.83|-92.21"
"0025/0044",-92.21,40.88,"40.88|-92.21"
"0025/0044",-92.21,40.91,"40.91|-92.21"
"0025/0044",-92.21,40.96,"40.96|-92.21"
"0025/0044",-92.21,41,"41|-92.21"
"0025/0044",-92.21,41.04,"41.04|-92.21"
"0025/0044",-92.21,41.09,"41.09|-92.21"
"0025/0044",-92.21,41.12,"41.12|-92.21"
"0025/0044",-92.21,41.17,"41.17|-92.21"
"0025/0044",-92.21,41.21,"41.21|-92.21"
"0025/0044",-92.21,41.26,"41.26|-92.21"
"0025/0044",-92.21,41.29,"41.29|-92.21"
"0025/0044",-92.21,41.35,"41.35|-92.21"
"0025/0044",-92.21,41.38,"41.38|-92.21"
"0025/0044",-92.21,41.44,"41.44|-92.21"
"0025/0044",-92.21,41.46,"41.46|-92.21"
"0025/0044",-92.21,41.52,"41.52|-92.21"
"0025/0044",-92.21,41.54,"41.54|-92.21"
"0025/0044",-92.21,41.61,"41.61|-92.21"
"0025/0044",-92.21,41.62,"41.62|-92.21"
"0025/0044",-92.21,41.7,"41.7|-92.21"
"0025/0044",-92.21,41.71,"41.71|-92.21"
"0025/0044",-92.21,41.78,"41.78|-92.21"
"0025/0044",-92.21,41.79,"41.79|-92.21"
"0025/0044",-92.21,41.87,"41.87|-92.21"
"0025/0044",-92.21,41.88,"41.88|-92.21"
"0025/0044",-92.21,41.96,"41.96|-92.21"
"0024/0044",-92.21,42.04,"42.04|-92.21"
"0024/0044",-92.21,42.12,"42.12|-92.21"
"0024/0044",-92.21,42.21,"42.21|-92.21"
"0024/0044",-92.21,42.22,"42.22|-92.21"
"0024/0044",-92.21,42.29,"42.29|-92.21"
"0024/0044",-92.21,42.3,"42.3|-92.21"
"0024/0044",-92.21,42.38,"42.38|-92.21"
"0024/0044",-92.21,42.39,"42.39|-92.21"
"0024/0044",-92.21,42.46,"42.46|-92.21"
"0024/0044",-92.21,42.48,"42.48|-92.21"
"0024/0044",-92.21,42.54,"42.54|-92.21"
"0024/0044",-92.21,42.56,"42.56|-92.21"
"0024/0044",-92.21,42.62,"42.62|-92.21"
"0024/0044",-92.21,42.65,"42.65|-92.21"
"0024/0044",-92.21,42.71,"42.71|-92.21"
"0024/0044",-92.21,42.74,"42.74|-92.21"
"0024/0044",-92.21,42.79,"42.79|-92.21"
"0024/0044",-92.21,42.83,"42.83|-92.21"
"0024/0044",-92.21,42.88,"42.88|-92.21"
"0024/0044",-92.21,42.91,"42.91|-92.21"
"0024/0044",-92.21,42.96,"42.96|-92.21"
"0024/0044",-92.21,43,"43|-92.21"
"0024/0044",-92.21,43.04,"43.04|-92.21"
"0024/0044",-92.21,43.09,"43.09|-92.21"
"0024/0044",-92.21,43.12,"43.12|-92.21"
"0024/0044",-92.21,43.17,"43.17|-92.21"
"0024/0044",-92.21,43.21,"43.21|-92.21"
"0024/0044",-92.21,43.26,"43.26|-92.21"
"0024/0044",-92.21,43.29,"43.29|-92.21"
"0024/0044",-92.21,43.35,"43.35|-92.21"
"0024/0044",-92.21,43.38,"43.38|-92.21"
"0024/0044",-92.21,43.44,"43.44|-92.21"
"0024/0044",-92.21,43.46,"43.46|-92.21"
"0025/0044",-92.29,40.62,"40.62|-92.29"
"0025/0044",-92.29,40.65,"40.65|-92.29"
"0025/0044",-92.29,40.71,"40.71|-92.29"
"0025/0044",-92.29,40.74,"40.74|-92.29"
"0025/0044",-92.29,40.79,"40.79|-92.29"
"0025/0044",-92.29,40.83,"40.83|-92.29"
"0025/0044",-92.29,40.88,"40.88|-92.29"
"0025/0044",-92.29,40.91,"40.91|-92.29"
"0025/0044",-92.29,40.96,"40.96|-92.29"
"0025/0044",-92.29,41,"41|-92.29"
"0025/0044",-92.29,41.04,"41.04|-92.29"
"0025/0044",-92.29,41.09,"41.09|-92.29"
"0025/0044",-92.29,41.12,"41.12|-92.29"
"0025/0044",-92.29,41.17,"41.17|-92.29"
"0025/0044",-92.29,41.21,"41.21|-92.29"
"0025/0044",-92.29,41.26,"41.26|-92.29"
"0025/0044",-92.29,41.29,"41.29|-92.29"
"0025/0044",-92.29,41.35,"41.35|-92.29"
"0025/0044",-92.29,41.38,"41.38|-92.29"
"0025/0044",-92.29,41.44,"41.44|-92.29"
"0025/0044",-92.29,41.46,"41.46|-92.29"
"0025/0044",-92.29,41.52,"41.52|-92.29"
"0025/0044",-92.29,41.54,"41.54|-92.29"
"0025/0044",-92.29,41.61,"41.61|-92.29"
"0025/0044",-92.29,41.62,"41.62|-92.29"
"0025/0044",-92.29,41.7,"41.7|-92.29"
"0025/0044",-92.29,41.71,"41.71|-92.29"
"0025/0044",-92.29,41.78,"41.78|-92.29"
"0025/0044",-92.29,41.79,"41.79|-92.29"
"0025/0044",-92.29,41.87,"41.87|-92.29"
"0025/0044",-92.29,41.88,"41.88|-92.29"
"0025/0044",-92.29,41.96,"41.96|-92.29"
"0024/0044",-92.29,42.04,"42.04|-92.29"
"0024/0044",-92.29,42.12,"42.12|-92.29"
"0024/0044",-92.29,42.21,"42.21|-92.29"
"0024/0044",-92.29,42.22,"42.22|-92.29"
"0024/0044",-92.29,42.29,"42.29|-92.29"
"0024/0044",-92.29,42.3,"42.3|-92.29"
"0024/0044",-92.29,42.38,"42.38|-92.29"
"0024/0044",-92.29,42.39,"42.39|-92.29"
"0024/0044",-92.29,42.46,"42.46|-92.29"
"0024/0044",-92.29,42.48,"42.48|-92.29"
"0024/0044",-92.29,42.54,"42.54|-92.29"
"0024/0044",-92.29,42.56,"42.56|-92.29"
"0024/0044",-92.29,42.62,"42.62|-92.29"
"0024/0044",-92.29,42.65,"42.65|-92.29"
"0024/0044",-92.29,42.71,"42.71|-92.29"
"0024/0044",-92.29,42.74,"42.74|-92.29"
"0024/0044",-92.29,42.79,"42.79|-92.29"
"0024/0044",-92.29,42.83,"42.83|-92.29"
"0024/0044",-92.29,42.88,"42.88|-92.29"
"0024/0044",-92.29,42.91,"42.91|-92.29"
"0024/0044",-92.29,42.96,"42.96|-92.29"
"0024/0044",-92.29,43,"43|-92.29"
"0024/0044",-92.29,43.04,"43.04|-92.29"
"0024/0044",-92.29,43.09,"43.09|-92.29"
"0024/0044",-92.29,43.12,"43.12|-92.29"
"0024/0044",-92.29,43.17,"43.17|-92.29"
"0024/0044",-92.29,43.21,"43.21|-92.29"
"0024/0044",-92.29,43.26,"43.26|-92.29"
"0024/0044",-92.29,43.29,"43.29|-92.29"
"0024/0044",-92.29,43.35,"43.35|-92.29"
"0024/0044",-92.29,43.38,"43.38|-92.29"
"0024/0044",-92.29,43.44,"43.44|-92.29"
"0024/0044",-92.29,43.46,"43.46|-92.29"
"0025/0044",-92.38,40.62,"40.62|-92.38"
"0025/0044",-92.38,40.65,"40.65|-92.38"
"0025/0044",-92.38,40.71,"40.71|-92.38"
"0025/0044",-92.38,40.74,"40.74|-92.38"
"0025/0044",-92.38,40.79,"40.79|-92.38"
"0025/0044",-92.38,40.83,"40.83|-92.38"
"0025/0044",-92.38,40.88,"40.88|-92.38"
"0025/0044",-92.38,40.91,"40.91|-92.38"
"0025/0044",-92.38,40.96,"40.96|-92.38"
"0025/0044",-92.38,41,"41|-92.38"
"0025/0044",-92.38,41.04,"41.04|-92.38"
"0025/0044",-92.38,41.09,"41.09|-92.38"
"0025/0044",-92.38,41.12,"41.12|-92.38"
"0025/0044",-92.38,41.17,"41.17|-92.38"
"0025/0044",-92.38,41.21,"41.21|-92.38"
"0025/0044",-92.38,41.26,"41.26|-92.38"
"0025/0044",-92.38,41.29,"41.29|-92.38"
"0025/0044",-92.38,41.35,"41.35|-92.38"
"0025/0044",-92.38,41.38,"41.38|-92.38"
"0025/0044",-92.38,41.44,"41.44|-92.38"
"0025/0044",-92.38,41.46,"41.46|-92.38"
"0025/0044",-92.38,41.52,"41.52|-92.38"
"0025/0044",-92.38,41.54,"41.54|-92.38"
"0025/0044",-92.38,41.61,"41.61|-92.38"
"0025/0044",-92.38,41.62,"41.62|-92.38"
"0025/0044",-92.38,41.7,"41.7|-92.38"
"0025/0044",-92.38,41.71,"41.71|-92.38"
"0025/0044",-92.38,41.78,"41.78|-92.38"
"0025/0044",-92.38,41.79,"41.79|-92.38"
"0025/0044",-92.38,41.87,"41.87|-92.38"
"0025/0044",-92.38,41.88,"41.88|-92.38"
"0025/0044",-92.38,41.96,"41.96|-92.38"
"0024/0044",-92.38,42.04,"42.04|-92.38"
"0024/0044",-92.38,42.12,"42.12|-92.38"
"0024/0044",-92.38,42.21,"42.21|-92.38"
"0024/0044",-92.38,42.22,"42.22|-92.38"
"0024/0044",-92.38,42.29,"42.29|-92.38"
"0024/0044",-92.38,42.3,"42.3|-92.38"
"0024/0044",-92.38,42.38,"42.38|-92.38"
"0024/0044",-92.38,42.39,"42.39|-92.38"
"0024/0044",-92.38,42.46,"42.46|-92.38"
"0024/0044",-92.38,42.48,"42.48|-92.38"
"0024/0044",-92.38,42.54,"42.54|-92.38"
"0024/0044",-92.38,42.56,"42.56|-92.38"
"0024/0044",-92.38,42.62,"42.62|-92.38"
"0024/0044",-92.38,42.65,"42.65|-92.38"
"0024/0044",-92.38,42.71,"42.71|-92.38"
"0024/0044",-92.38,42.74,"42.74|-92.38"
"0024/0044",-92.38,42.79,"42.79|-92.38"
"0024/0044",-92.38,42.83,"42.83|-92.38"
"0024/0044",-92.38,42.88,"42.88|-92.38"
"0024/0044",-92.38,42.91,"42.91|-92.38"
"0024/0044",-92.38,42.96,"42.96|-92.38"
"0024/0044",-92.38,43,"43|-92.38"
"0024/0044",-92.38,43.04,"43.04|-92.38"
"0024/0044",-92.38,43.09,"43.09|-92.38"
"0024/0044",-92.38,43.12,"43.12|-92.38"
"0024/0044",-92.38,43.17,"43.17|-92.38"
"0024/0044",-92.38,43.21,"43.21|-92.38"
"0024/0044",-92.38,43.26,"43.26|-92.38"
"0024/0044",-92.38,43.29,"43.29|-92.38"
"0024/0044",-92.38,43.35,"43.35|-92.38"
"0024/0044",-92.38,43.38,"43.38|-92.38"
"0024/0044",-92.38,43.44,"43.44|-92.38"
"0024/0044",-92.38,43.46,"43.46|-92.38"
"0025/0044",-92.46,40.62,"40.62|-92.46"
"0025/0044",-92.46,40.65,"40.65|-92.46"
"0025/0044",-92.46,40.71,"40.71|-92.46"
"0025/0044",-92.46,40.74,"40.74|-92.46"
"0025/0044",-92.46,40.79,"40.79|-92.46"
"0025/0044",-92.46,40.83,"40.83|-92.46"
"0025/0044",-92.46,40.91,"40.91|-92.46"
"0025/0044",-92.46,40.96,"40.96|-92.46"
"0025/0044",-92.46,41,"41|-92.46"
"0025/0044",-92.46,41.04,"41.04|-92.46"
"0025/0044",-92.46,41.09,"41.09|-92.46"
"0025/0044",-92.46,41.12,"41.12|-92.46"
"0025/0044",-92.46,41.17,"41.17|-92.46"
"0025/0044",-92.46,41.21,"41.21|-92.46"
"0025/0044",-92.46,41.26,"41.26|-92.46"
"0025/0044",-92.46,41.29,"41.29|-92.46"
"0025/0044",-92.46,41.35,"41.35|-92.46"
"0025/0044",-92.46,41.38,"41.38|-92.46"
"0025/0044",-92.46,41.44,"41.44|-92.46"
"0025/0044",-92.46,41.46,"41.46|-92.46"
"0025/0044",-92.46,41.52,"41.52|-92.46"
"0025/0044",-92.46,41.54,"41.54|-92.46"
"0025/0044",-92.46,41.61,"41.61|-92.46"
"0025/0044",-92.46,41.62,"41.62|-92.46"
"0025/0044",-92.46,41.7,"41.7|-92.46"
"0025/0044",-92.46,41.71,"41.71|-92.46"
"0025/0044",-92.46,41.78,"41.78|-92.46"
"0025/0044",-92.46,41.79,"41.79|-92.46"
"0025/0044",-92.46,41.87,"41.87|-92.46"
"0025/0044",-92.46,41.88,"41.88|-92.46"
"0025/0044",-92.46,41.96,"41.96|-92.46"
"0024/0044",-92.46,42.04,"42.04|-92.46"
"0024/0044",-92.46,42.12,"42.12|-92.46"
"0024/0044",-92.46,42.21,"42.21|-92.46"
"0024/0044",-92.46,42.22,"42.22|-92.46"
"0024/0044",-92.46,42.29,"42.29|-92.46"
"0024/0044",-92.46,42.3,"42.3|-92.46"
"0024/0044",-92.46,42.38,"42.38|-92.46"
"0024/0044",-92.46,42.39,"42.39|-92.46"
"0024/0044",-92.46,42.46,"42.46|-92.46"
"0024/0044",-92.46,42.48,"42.48|-92.46"
"0024/0044",-92.46,42.54,"42.54|-92.46"
"0024/0044",-92.46,42.56,"42.56|-92.46"
"0024/0044",-92.46,42.62,"42.62|-92.46"
"0024/0044",-92.46,42.65,"42.65|-92.46"
"0024/0044",-92.46,42.71,"42.71|-92.46"
"0024/0044",-92.46,42.74,"42.74|-92.46"
"0024/0044",-92.46,42.79,"42.79|-92.46"
"0024/0044",-92.46,42.83,"42.83|-92.46"
"0024/0044",-92.46,42.88,"42.88|-92.46"
"0024/0044",-92.46,42.91,"42.91|-92.46"
"0024/0044",-92.46,42.96,"42.96|-92.46"
"0024/0044",-92.46,43,"43|-92.46"
"0024/0044",-92.46,43.04,"43.04|-92.46"
"0024/0044",-92.46,43.09,"43.09|-92.46"
"0024/0044",-92.46,43.12,"43.12|-92.46"
"0024/0044",-92.46,43.17,"43.17|-92.46"
"0024/0044",-92.46,43.21,"43.21|-92.46"
"0024/0044",-92.46,43.26,"43.26|-92.46"
"0024/0044",-92.46,43.29,"43.29|-92.46"
"0024/0044",-92.46,43.35,"43.35|-92.46"
"0024/0044",-92.46,43.38,"43.38|-92.46"
"0024/0044",-92.46,43.44,"43.44|-92.46"
"0024/0044",-92.46,43.46,"43.46|-92.46"
"0024/0044",-92.46,43.52,"43.52|-92.46"
"0024/0044",-92.46,43.54,"43.54|-92.46"
"0024/0044",-92.46,43.61,"43.61|-92.46"
"0024/0044",-92.46,43.62,"43.62|-92.46"
"0024/0044",-92.46,43.7,"43.7|-92.46"
"0024/0044",-92.46,43.71,"43.71|-92.46"
"0024/0044",-92.46,43.78,"43.78|-92.46"
"0024/0044",-92.46,43.79,"43.79|-92.46"
"0024/0044",-92.46,43.87,"43.87|-92.46"
"0024/0044",-92.46,43.88,"43.88|-92.46"
"0025/0044",-92.54,40.62,"40.62|-92.54"
"0025/0044",-92.54,40.65,"40.65|-92.54"
"0025/0044",-92.54,40.71,"40.71|-92.54"
"0025/0044",-92.54,40.74,"40.74|-92.54"
"0025/0044",-92.54,40.79,"40.79|-92.54"
"0025/0044",-92.54,40.83,"40.83|-92.54"
"0025/0044",-92.54,40.88,"40.88|-92.54"
"0025/0044",-92.54,40.91,"40.91|-92.54"
"0025/0044",-92.54,40.96,"40.96|-92.54"
"0025/0044",-92.54,41,"41|-92.54"
"0025/0044",-92.54,41.04,"41.04|-92.54"
"0025/0044",-92.54,41.09,"41.09|-92.54"
"0025/0044",-92.54,41.12,"41.12|-92.54"
"0025/0044",-92.54,41.17,"41.17|-92.54"
"0025/0044",-92.54,41.21,"41.21|-92.54"
"0025/0044",-92.54,41.26,"41.26|-92.54"
"0025/0044",-92.54,41.29,"41.29|-92.54"
"0025/0044",-92.54,41.35,"41.35|-92.54"
"0025/0044",-92.54,41.38,"41.38|-92.54"
"0025/0044",-92.54,41.44,"41.44|-92.54"
"0025/0044",-92.54,41.46,"41.46|-92.54"
"0025/0044",-92.54,41.52,"41.52|-92.54"
"0025/0044",-92.54,41.54,"41.54|-92.54"
"0025/0044",-92.54,41.61,"41.61|-92.54"
"0025/0044",-92.54,41.62,"41.62|-92.54"
"0025/0044",-92.54,41.7,"41.7|-92.54"
"0025/0044",-92.54,41.71,"41.71|-92.54"
"0025/0044",-92.54,41.78,"41.78|-92.54"
"0025/0044",-92.54,41.79,"41.79|-92.54"
"0025/0044",-92.54,41.87,"41.87|-92.54"
"0025/0044",-92.54,41.88,"41.88|-92.54"
"0025/0044",-92.54,41.96,"41.96|-92.54"
"0024/0044",-92.54,42.04,"42.04|-92.54"
"0024/0044",-92.54,42.12,"42.12|-92.54"
"0024/0044",-92.54,42.21,"42.21|-92.54"
"0024/0044",-92.54,42.22,"42.22|-92.54"
"0024/0044",-92.54,42.29,"42.29|-92.54"
"0024/0044",-92.54,42.3,"42.3|-92.54"
"0024/0044",-92.54,42.38,"42.38|-92.54"
"0024/0044",-92.54,42.39,"42.39|-92.54"
"0024/0044",-92.54,42.46,"42.46|-92.54"
"0024/0044",-92.54,42.48,"42.48|-92.54"
"0024/0044",-92.54,42.54,"42.54|-92.54"
"0024/0044",-92.54,42.56,"42.56|-92.54"
"0024/0044",-92.54,42.62,"42.62|-92.54"
"0024/0044",-92.54,42.65,"42.65|-92.54"
"0024/0044",-92.54,42.71,"42.71|-92.54"
"0024/0044",-92.54,42.74,"42.74|-92.54"
"0024/0044",-92.54,42.79,"42.79|-92.54"
"0024/0044",-92.54,42.83,"42.83|-92.54"
"0024/0044",-92.54,42.88,"42.88|-92.54"
"0024/0044",-92.54,42.91,"42.91|-92.54"
"0024/0044",-92.54,42.96,"42.96|-92.54"
"0024/0044",-92.54,43,"43|-92.54"
"0024/0044",-92.54,43.04,"43.04|-92.54"
"0024/0044",-92.54,43.09,"43.09|-92.54"
"0024/0044",-92.54,43.12,"43.12|-92.54"
"0024/0044",-92.54,43.17,"43.17|-92.54"
"0024/0044",-92.54,43.21,"43.21|-92.54"
"0024/0044",-92.54,43.26,"43.26|-92.54"
"0024/0044",-92.54,43.29,"43.29|-92.54"
"0024/0044",-92.54,43.35,"43.35|-92.54"
"0024/0044",-92.54,43.38,"43.38|-92.54"
"0024/0044",-92.54,43.44,"43.44|-92.54"
"0024/0044",-92.54,43.46,"43.46|-92.54"
"0024/0044",-92.54,43.52,"43.52|-92.54"
"0024/0044",-92.54,43.54,"43.54|-92.54"
"0024/0044",-92.54,43.61,"43.61|-92.54"
"0024/0044",-92.54,43.62,"43.62|-92.54"
"0024/0044",-92.54,43.7,"43.7|-92.54"
"0024/0044",-92.54,43.71,"43.71|-92.54"
"0024/0044",-92.54,43.78,"43.78|-92.54"
"0024/0044",-92.54,43.79,"43.79|-92.54"
"0024/0044",-92.54,43.87,"43.87|-92.54"
"0024/0044",-92.54,43.88,"43.88|-92.54"
"0025/0044",-92.62,40.62,"40.62|-92.62"
"0025/0044",-92.62,40.65,"40.65|-92.62"
"0025/0044",-92.62,40.71,"40.71|-92.62"
"0025/0044",-92.62,40.74,"40.74|-92.62"
"0025/0044",-92.62,40.79,"40.79|-92.62"
"0025/0044",-92.62,40.83,"40.83|-92.62"
"0025/0044",-92.62,40.88,"40.88|-92.62"
"0025/0044",-92.62,40.91,"40.91|-92.62"
"0025/0044",-92.62,40.96,"40.96|-92.62"
"0025/0044",-92.62,41,"41|-92.62"
"0025/0044",-92.62,41.04,"41.04|-92.62"
"0025/0044",-92.62,41.09,"41.09|-92.62"
"0025/0044",-92.62,41.12,"41.12|-92.62"
"0025/0044",-92.62,41.17,"41.17|-92.62"
"0025/0044",-92.62,41.21,"41.21|-92.62"
"0025/0044",-92.62,41.26,"41.26|-92.62"
"0025/0044",-92.62,41.29,"41.29|-92.62"
"0025/0044",-92.62,41.35,"41.35|-92.62"
"0025/0044",-92.62,41.38,"41.38|-92.62"
"0025/0044",-92.62,41.44,"41.44|-92.62"
"0025/0044",-92.62,41.46,"41.46|-92.62"
"0025/0044",-92.62,41.52,"41.52|-92.62"
"0025/0044",-92.62,41.54,"41.54|-92.62"
"0025/0044",-92.62,41.61,"41.61|-92.62"
"0025/0044",-92.62,41.62,"41.62|-92.62"
"0025/0044",-92.62,41.7,"41.7|-92.62"
"0025/0044",-92.62,41.71,"41.71|-92.62"
"0025/0044",-92.62,41.78,"41.78|-92.62"
"0025/0044",-92.62,41.79,"41.79|-92.62"
"0025/0044",-92.62,41.87,"41.87|-92.62"
"0025/0044",-92.62,41.88,"41.88|-92.62"
"0025/0044",-92.62,41.96,"41.96|-92.62"
"0024/0044",-92.62,42.04,"42.04|-92.62"
"0024/0044",-92.62,42.12,"42.12|-92.62"
"0024/0044",-92.62,42.21,"42.21|-92.62"
"0024/0044",-92.62,42.22,"42.22|-92.62"
"0024/0044",-92.62,42.3,"42.3|-92.62"
"0024/0044",-92.62,42.38,"42.38|-92.62"
"0024/0044",-92.62,42.39,"42.39|-92.62"
"0024/0044",-92.62,42.46,"42.46|-92.62"
"0024/0044",-92.62,42.48,"42.48|-92.62"
"0024/0044",-92.62,42.54,"42.54|-92.62"
"0024/0044",-92.62,42.56,"42.56|-92.62"
"0024/0044",-92.62,42.62,"42.62|-92.62"
"0024/0044",-92.62,42.65,"42.65|-92.62"
"0024/0044",-92.62,42.71,"42.71|-92.62"
"0024/0044",-92.62,42.74,"42.74|-92.62"
"0024/0044",-92.62,42.79,"42.79|-92.62"
"0024/0044",-92.62,42.83,"42.83|-92.62"
"0024/0044",-92.62,42.88,"42.88|-92.62"
"0024/0044",-92.62,42.91,"42.91|-92.62"
"0024/0044",-92.62,42.96,"42.96|-92.62"
"0024/0044",-92.62,43,"43|-92.62"
"0024/0044",-92.62,43.04,"43.04|-92.62"
"0024/0044",-92.62,43.09,"43.09|-92.62"
"0024/0044",-92.62,43.12,"43.12|-92.62"
"0024/0044",-92.62,43.17,"43.17|-92.62"
"0024/0044",-92.62,43.21,"43.21|-92.62"
"0024/0044",-92.62,43.26,"43.26|-92.62"
"0024/0044",-92.62,43.29,"43.29|-92.62"
"0024/0044",-92.62,43.35,"43.35|-92.62"
"0024/0044",-92.62,43.38,"43.38|-92.62"
"0024/0044",-92.62,43.44,"43.44|-92.62"
"0024/0044",-92.62,43.46,"43.46|-92.62"
"0024/0044",-92.62,43.52,"43.52|-92.62"
"0024/0044",-92.62,43.54,"43.54|-92.62"
"0024/0044",-92.62,43.61,"43.61|-92.62"
"0024/0044",-92.62,43.62,"43.62|-92.62"
"0024/0044",-92.62,43.7,"43.7|-92.62"
"0024/0044",-92.62,43.71,"43.71|-92.62"
"0024/0044",-92.62,43.78,"43.78|-92.62"
"0024/0044",-92.62,43.79,"43.79|-92.62"
"0024/0044",-92.62,43.87,"43.87|-92.62"
"0024/0044",-92.62,43.88,"43.88|-92.62"
"0025/0044",-92.71,40.62,"40.62|-92.71"
"0025/0044",-92.71,40.65,"40.65|-92.71"
"0025/0044",-92.71,40.71,"40.71|-92.71"
"0025/0044",-92.71,40.74,"40.74|-92.71"
"0025/0044",-92.71,40.79,"40.79|-92.71"
"0025/0044",-92.71,40.83,"40.83|-92.71"
"0025/0044",-92.71,40.91,"40.91|-92.71"
"0025/0044",-92.71,40.96,"40.96|-92.71"
"0025/0044",-92.71,41,"41|-92.71"
"0025/0044",-92.71,41.04,"41.04|-92.71"
"0025/0044",-92.71,41.09,"41.09|-92.71"
"0025/0044",-92.71,41.12,"41.12|-92.71"
"0025/0044",-92.71,41.17,"41.17|-92.71"
"0025/0044",-92.71,41.21,"41.21|-92.71"
"0025/0044",-92.71,41.26,"41.26|-92.71"
"0025/0044",-92.71,41.29,"41.29|-92.71"
"0025/0044",-92.71,41.35,"41.35|-92.71"
"0025/0044",-92.71,41.38,"41.38|-92.71"
"0025/0044",-92.71,41.44,"41.44|-92.71"
"0025/0044",-92.71,41.46,"41.46|-92.71"
"0025/0044",-92.71,41.52,"41.52|-92.71"
"0025/0044",-92.71,41.54,"41.54|-92.71"
"0025/0044",-92.71,41.61,"41.61|-92.71"
"0025/0044",-92.71,41.62,"41.62|-92.71"
"0025/0044",-92.71,41.7,"41.7|-92.71"
"0025/0044",-92.71,41.71,"41.71|-92.71"
"0025/0044",-92.71,41.78,"41.78|-92.71"
"0025/0044",-92.71,41.79,"41.79|-92.71"
"0025/0044",-92.71,41.87,"41.87|-92.71"
"0025/0044",-92.71,41.88,"41.88|-92.71"
"0025/0044",-92.71,41.96,"41.96|-92.71"
"0024/0044",-92.71,42.04,"42.04|-92.71"
"0024/0044",-92.71,42.12,"42.12|-92.71"
"0024/0044",-92.71,42.21,"42.21|-92.71"
"0024/0044",-92.71,42.22,"42.22|-92.71"
"0024/0044",-92.71,42.29,"42.29|-92.71"
"0024/0044",-92.71,42.3,"42.3|-92.71"
"0024/0044",-92.71,42.38,"42.38|-92.71"
"0024/0044",-92.71,42.39,"42.39|-92.71"
